2017-01-01,New Year's Day,2,New Year's Day
2017-01-15,Martin Luther King Day,2,Martin Luther King Day
2017-02-20,President's Day,2,President's Day
2017-05-29,Memorial Day,2,Memorial Day
2017-07-04,Independence Day,2,Independence Day
2017-09-04,Labor Day,2,Labor Day
2017-10-09,Columbus Day,2,Columbus Day
2017-11-11,Veteran Day,2,Veteran Day
2017-11-23,Thanks Giving,2,Thanks Giving
2017-12-25,Christmas,2,Christmas
